step,res_total,res_max,dt
0,4.63758582e+01,1.48974817e-01,1.83425643e-07
1,4.18905895e+01,1.24672439e-01,1.65650222e-07
2,3.87425528e+01,1.08406973e-01,1.52313307e-07
3,3.63509562e+01,1.00991540e-01,1.42038136e-07
4,3.44837826e+01,9.87897916e-02,1.33946054e-07
5,3.29413189e+01,9.37540448e-02,1.27213682e-07
6,3.13127582e+01,9.19718329e-02,1.20248377e-07
7,2.99358165e+01,1.04705723e-01,1.14319997e-07
8,2.88529591e+01,1.12156500e-01,1.09564828e-07
9,2.79783099e+01,1.16524558e-01,1.05666807e-07
10,2.72673475e+01,1.18308392e-01,1.02426296e-07
11,2.66794669e+01,1.18583995e-01,9.96968618e-08
12,2.61960654e+01,1.22314489e-01,9.74053467e-08
13,2.58603023e+01,1.22031708e-01,9.56722668e-08
14,2.56221479e+01,1.18580834e-01,9.43160667e-08
15,2.54568757e+01,1.31229775e-01,9.32405209e-08
16,2.53580581e+01,1.46206150e-01,9.23849058e-08
17,2.51440508e+01,1.56015727e-01,9.11014412e-08
18,2.49013544e+01,1.61571832e-01,8.97376725e-08
19,2.46761463e+01,1.63230590e-01,8.84876528e-08
20,2.44654588e+01,1.61764512e-01,8.73352388e-08
21,2.42883907e+01,1.56696861e-01,8.62747136e-08
22,2.41342064e+01,1.48043411e-01,8.53033802e-08
23,2.39970189e+01,1.49832117e-01,8.44122298e-08
24,2.38741327e+01,1.62984517e-01,8.35933125e-08
25,2.38025228e+01,1.75963566e-01,8.28397513e-08
26,2.37619101e+01,1.88234030e-01,8.21456561e-08
27,2.37240671e+01,1.95097825e-01,8.15060177e-08
28,2.36913944e+01,1.93765247e-01,8.09155250e-08
29,2.36639877e+01,1.87574367e-01,8.03588580e-08
30,2.36226097e+01,1.77685036e-01,7.98328734e-08
31,2.35896462e+01,1.63526283e-01,7.93354203e-08
32,2.35610894e+01,1.77745293e-01,7.88627640e-08
33,2.35660922e+01,1.95507499e-01,7.84113935e-08
34,2.35718610e+01,2.08731274e-01,7.79784451e-08
35,2.35809361e+01,2.14415455e-01,7.75615751e-08
36,2.36236266e+01,2.05817871e-01,7.71588729e-08
37,2.36726540e+01,1.94846975e-01,7.67697143e-08
38,2.37232155e+01,1.85171236e-01,7.64053410e-08
39,2.37813070e+01,1.77832700e-01,7.60610368e-08
40,2.38341407e+01,1.70338575e-01,7.57300483e-08
41,2.38647789e+01,1.86083328e-01,7.54346714e-08
42,2.39113125e+01,2.04460170e-01,7.51569722e-08
43,2.39743848e+01,2.18892898e-01,7.48968148e-08
44,2.40799268e+01,2.27975677e-01,7.46571154e-08
45,2.42036112e+01,2.22513598e-01,7.44341419e-08
46,2.43184186e+01,2.09897024e-01,7.42270996e-08
47,2.44331881e+01,1.98230081e-01,7.40352598e-08
48,2.45393775e+01,1.83070419e-01,7.38583340e-08
49,2.46585242e+01,1.84157122e-01,7.36987677e-08
50,2.48014592e+01,2.03441247e-01,7.35716242e-08
51,2.49685139e+01,2.19680819e-01,7.34982358e-08
52,2.51550843e+01,2.38403777e-01,7.35075987e-08
53,2.53788041e+01,2.46013566e-01,7.36426596e-08
54,2.55831909e+01,2.42842373e-01,7.39655280e-08
55,2.57828568e+01,2.36045726e-01,7.40398514e-08
56,2.57469702e+01,2.23286387e-01,7.34610946e-08
